"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18108","0","1892","0.0993784439802789"
"0.1","2","1","2","20000","18114","0","1886","0.0990471536012343"
"0.1","2","1","3","20000","18111","0","1889","0.0992127850715922"
"0.1","2","2","1","20000","18109","0","1891","0.0993232212947856"
"0.1","2","2","2","20000","18113","0","1887","0.0991023610432115"
"0.1","2","2","3","20000","18116","0","1884","0.0989367478600235"
"0.1","2","3","1","3999","467","3204","328","2.14747035117792"
"0.1","2","3","2","3999","568","3013","418","1.95167819012567"
"0.1","2","3","3","3999","235","3389","375","2.83421409470266"
"0.1","2","4","1","20000","18113","0","1887","0.0991023610432115"
"0.1","2","4","2","20000","18106","0","1894","0.0994888985007424"
"0.1","2","4","3","20000","18109","0","1891","0.0993232212947856"
"0.1","2","5","1","20000","18107","0","1893","0.0994336697154855"
"0.1","2","5","2","20000","18111","0","1889","0.0992127850715922"
"0.1","2","5","3","20000","18107","0","1893","0.0994336697154855"
"0.1","3","1","1","20000","18147","0","1853","0.0972270157611041"
"0.1","3","1","2","20000","18160","0","1840","0.0965109003808437"
"0.1","3","1","3","20000","18155","0","1845","0.0967862686876919"
"0.1","3","2","1","20000","18144","0","1856","0.0973923460086494"
"0.1","3","2","2","20000","18153","0","1847","0.0968964372456969"
"0.1","3","2","3","20000","18143","0","1857","0.0974474621659649"
"0.1","3","3","1","20000","18143","0","1857","0.0974474621659649"
"0.1","3","3","2","20000","18146","0","1854","0.0972821228065538"
"0.1","3","3","3","20000","18159","0","1841","0.0965659679763311"
"0.1","3","4","1","20000","18157","0","1843","0.096676112265461"
