"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","1","1902","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","2","1901","0.0999860948759269"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","1","1902","0.0999860948759269"
"0.1","2","1","1","20000","18160","895","945","0.0965109003808437"
"0.1","2","1","2","20000","18128","648","1224","0.0982745692683405"
"0.1","2","1","3","20000","18115","243","1642","0.0989919492069504"
"0.1","2","2","1","20000","18128","0","1872","0.0982745692683405"
"0.1","2","2","2","20000","18141","771","1088","0.0975577035948054"
"0.1","2","2","3","20000","18118","150","1732","0.0988263543068949"
"0.1","2","3","1","20000","18122","306","1572","0.0986056037541221"
"0.1","2","3","2","20000","18127","4","1869","0.098329734073209"
"0.1","2","3","3","20000","18156","0","1844","0.0967311889597718"
"0.1","2","4","1","20000","18156","1464","380","0.0967311889597718"
"0.1","2","4","2","20000","18126","305","1569","0.0983849019214011"
"0.1","2","4","3","20000","18150","923","927","0.0970617128431312"
"0.1","2","5","1","20000","18124","0","1876","0.0984952467490992"
"0.1","2","5","2","20000","18155","1074","771","0.0967862686876919"
"0.1","2","5","3","20000","18135","457","1408","0.0978885008191254"
"0.1","3","1","1","20000","18389","383","1228","0.0839796137952749"
"0.1","3","1","2","20000","18256","55","1689","0.0912384804342712"
"0.1","3","1","3","20000","18407","1009","584","0.083001246503406"
"0.1","3","2","1","20000","18377","585","1038","0.0846323908407037"
"0.1","3","2","2","20000","18209","73","1718","0.0938162962042848"
"0.1","3","2","3","20000","18468","983","549","0.0796927689092485"
"0.1","3","3","1","20000","18227","0","1773","0.0928282623111946"
"0.1","3","3","2","20000","18228","0","1772","0.0927734001523549"
"0.1","3","3","3","20000","18223","0","1777","0.0930477410500729"
"0.1","3","4","1","20000","18386","821","793","0.0841427681124281"
