"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18107","0","1893","0.0994336697154855"
"0.1","2","1","2","20000","18105","0","1895","0.0995441303363865"
"0.1","2","1","3","20000","18101","0","1899","0.0997650881895751"
"0.1","2","2","1","20000","18110","0","1890","0.099268001658669"
"0.1","2","2","2","20000","18102","0","1898","0.0997098441490119"
"0.1","2","2","3","20000","18101","0","1899","0.0997650881895751"
"0.1","2","3","1","20000","18104","0","1896","0.0995993652227547"
"0.1","2","3","2","20000","18108","0","1892","0.0993784439802789"
"0.1","2","3","3","20000","18105","0","1895","0.0995441303363865"
"0.1","2","4","1","20000","18113","0","1887","0.0991023610432115"
"0.1","2","4","2","20000","18110","0","1890","0.099268001658669"
"0.1","2","4","3","20000","18100","0","1900","0.0998203352822109"
"0.1","2","5","1","20000","18112","0","1888","0.0991575715332186"
"0.1","2","5","2","20000","18105","0","1895","0.0995441303363865"
"0.1","2","5","3","20000","18114","0","1886","0.0990471536012343"
"0.1","3","1","1","20000","18144","0","1856","0.0973923460086494"
"0.1","3","1","2","20000","18131","0","1869","0.0981090931103193"
"0.1","3","1","3","20000","18150","0","1850","0.0970617128431312"
"0.1","3","2","1","20000","18151","0","1849","0.0970066179421504"
"0.1","3","2","2","20000","18158","0","1842","0.0966210386044255"
"0.1","3","2","3","20000","18142","0","1858","0.0975025813612386"
"0.1","3","3","1","20000","18140","0","1860","0.0976128288670004"
"0.1","3","3","2","20000","18150","0","1850","0.0970617128431312"
"0.1","3","3","3","20000","18149","0","1851","0.0971168107797274"
"0.1","3","4","1","20000","18134","0","1866","0.0979436443301267"
