"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18107","389","1504","0.0994336697154855"
"0.1","2","1","2","20000","18110","0","1890","0.099268001658669"
"0.1","2","1","3","20000","18102","0","1898","0.0997098441490119"
"0.1","2","2","1","20000","18113","240","1647","0.0991023610432115"
"0.1","2","2","2","20000","18103","255","1642","0.0996546031601842"
"0.1","2","2","3","20000","18103","311","1586","0.0996546031601842"
"0.1","2","3","1","20000","18107","352","1541","0.0994336697154855"
"0.1","2","3","2","20000","18108","0","1892","0.0993784439802789"
"0.1","2","3","3","20000","18106","302","1592","0.0994888985007424"
"0.1","2","4","1","20000","18113","0","1887","0.0991023610432115"
"0.1","2","4","2","20000","18109","262","1629","0.0993232212947856"
"0.1","2","4","3","20000","18101","317","1582","0.0997650881895751"
"0.1","2","5","1","20000","18114","0","1886","0.0990471536012343"
"0.1","2","5","2","20000","18105","214","1681","0.0995441303363865"
"0.1","2","5","3","20000","18116","0","1884","0.0989367478600235"
"0.1","3","1","1","20000","18144","0","1856","0.0973923460086494"
"0.1","3","1","2","20000","18130","0","1870","0.0981642487872313"
"0.1","3","1","3","20000","18150","0","1850","0.0970617128431312"
"0.1","3","2","1","20000","18143","0","1857","0.0974474621659649"
"0.1","3","2","2","20000","18151","0","1849","0.0970066179421504"
"0.1","3","2","3","20000","18139","0","1861","0.0976679571781586"
"0.1","3","3","1","20000","18140","0","1860","0.0976128288670004"
"0.1","3","3","2","20000","18150","0","1850","0.0970617128431312"
"0.1","3","3","3","20000","18138","0","1862","0.0977230885286149"
"0.1","3","4","1","20000","18134","0","1866","0.0979436443301267"
