"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos"
0.1,"1","1",1,20000,18097,0,1903
0.1,"1","1",2,20000,18097,0,1903
0.1,"1","1",3,20000,18097,0,1903
0.1,"1","2",1,20000,18097,0,1903
0.1,"1","2",2,20000,18097,0,1903
0.1,"1","2",3,20000,18097,0,1903
0.1,"1","3",1,20000,18097,0,1903
0.1,"1","3",2,20000,18097,0,1903
0.1,"1","3",3,20000,18097,0,1903
0.1,"1","4",1,20000,18097,0,1903
0.1,"1","4",2,20000,18097,0,1903
0.1,"1","4",3,20000,18097,0,1903
0.1,"1","5",1,20000,18097,0,1903
0.1,"1","5",2,20000,18097,0,1903
0.1,"1","5",3,20000,18097,0,1903
0.1,"2","1",1,20000,18124,0,1876
0.1,"2","1",2,20000,18120,0,1880
0.1,"2","1",3,20000,18106,0,1894
0.1,"2","2",1,20000,18129,0,1871
0.1,"2","2",2,20000,18122,0,1878
0.1,"2","2",3,20000,18114,0,1886
0.1,"2","3",1,20000,18118,0,1882
0.1,"2","3",2,20000,18117,0,1883
0.1,"2","3",3,20000,18119,0,1881
0.1,"2","4",1,20000,18120,0,1880
0.1,"2","4",2,20000,18116,0,1884
0.1,"2","4",3,20000,18106,0,1894
0.1,"2","5",1,20000,18124,0,1876
0.1,"2","5",2,20000,18118,0,1882
0.1,"2","5",3,20000,18123,0,1877
0.1,"3","1",1,20000,18279,0,1721
0.1,"3","1",2,20000,18288,0,1712
0.1,"3","1",3,20000,18281,0,1719
0.1,"3","2",1,20000,18274,0,1726
0.1,"3","2",2,20000,18243,0,1757
0.1,"3","2",3,20000,18290,0,1710
0.1,"3","3",1,20000,18252,0,1748
0.1,"3","3",2,20000,18281,0,1719
0.1,"3","3",3,20000,18246,0,1754
0.1,"3","4",1,20000,18221,0,1779
0.1,"3","4",2,20000,18226,0,1774
0.1,"3","4",3,20000,18228,0,1772
0.1,"3","5",1,20000,18253,0,1747
0.1,"3","5",2,20000,18266,0,1734
0.1,"3","5",3,20000,18256,0,1744
0.1,"4","1",1,20000,18462,0,1538
0.1,"4","1",2,20000,18455,0,1545
0.1,"4","1",3,20000,18499,0,1501
0.1,"4","2",1,20000,18443,0,1557
0.1,"4","2",2,20000,18413,0,1587
0.1,"4","2",3,20000,18470,0,1530
0.1,"4","3",1,20000,18458,0,1542
0.1,"4","3",2,20000,18424,0,1576
0.1,"4","3",3,20000,18443,0,1557
0.1,"4","4",1,20000,18401,0,1599
0.1,"4","4",2,20000,18416,0,1584
0.1,"4","4",3,20000,18384,0,1616
0.1,"4","5",1,20000,18345,0,1655
0.1,"4","5",2,20000,18312,0,1688
0.1,"4","5",3,20000,18350,0,1650
0.4,"1","1",1,20000,13406,0,6594
0.4,"1","1",2,20000,13406,0,6594
0.4,"1","1",3,20000,13406,0,6594
0.4,"1","2",1,20000,13406,0,6594
0.4,"1","2",2,20000,13406,0,6594
0.4,"1","2",3,20000,13406,0,6594
0.4,"1","3",1,20000,13406,0,6594
0.4,"1","3",2,20000,13406,0,6594
0.4,"1","3",3,20000,13406,0,6594
0.4,"1","4",1,20000,13405,0,6595
0.4,"1","4",2,20000,13406,0,6594
0.4,"1","4",3,20000,13406,0,6594
0.4,"1","5",1,20000,13405,0,6595
0.4,"1","5",2,20000,13406,0,6594
0.4,"1","5",3,20000,13406,0,6594
0.4,"2","1",1,20000,13469,0,6531
0.4,"2","1",2,20000,13481,0,6519
0.4,"2","1",3,20000,13460,0,6540
0.4,"2","2",1,20000,13460,0,6540
0.4,"2","2",2,20000,13474,0,6526
0.4,"2","2",3,20000,13470,0,6530
0.4,"2","3",1,20000,13475,0,6525
0.4,"2","3",2,20000,13475,0,6525
0.4,"2","3",3,20000,13468,0,6532
0.4,"2","4",1,20000,13459,0,6541
0.4,"2","4",2,20000,13465,0,6535
0.4,"2","4",3,20000,13455,0,6545
0.4,"2","5",1,20000,13477,0,6523
0.4,"2","5",2,20000,13481,0,6519
0.4,"2","5",3,20000,13468,0,6532
0.4,"3","1",1,20000,14054,0,5946
0.4,"3","1",2,20000,14006,0,5994
0.4,"3","1",3,20000,14073,0,5927
0.4,"3","2",1,20000,13902,0,6098
0.4,"3","2",2,20000,13975,0,6025
0.4,"3","2",3,20000,13942,0,6058
0.4,"3","3",1,20000,14023,0,5977
0.4,"3","3",2,20000,14003,0,5997
0.4,"3","3",3,20000,14157,0,5843
0.4,"3","4",1,20000,14017,0,5983
0.4,"3","4",2,20000,13977,0,6023
0.4,"3","4",3,20000,14051,0,5949
0.4,"3","5",1,20000,14076,0,5924
0.4,"3","5",2,20000,14130,0,5870
0.4,"3","5",3,20000,14031,0,5969
0.4,"4","1",1,20000,14679,0,5321
0.4,"4","1",2,20000,14768,0,5232
0.4,"4","1",3,20000,14531,0,5469
0.4,"4","2",1,20000,14549,0,5451
0.4,"4","2",2,20000,14633,0,5367
0.4,"4","2",3,20000,14618,0,5382
0.4,"4","3",1,20000,14520,0,5480
0.4,"4","3",2,20000,14673,0,5327
0.4,"4","3",3,20000,14690,0,5310
0.4,"4","4",1,20000,14489,0,5511
0.4,"4","4",2,20000,14500,0,5500
0.4,"4","4",3,20000,14470,0,5530
0.4,"4","5",1,20000,14593,0,5407
0.4,"4","5",2,20000,14580,0,5420
0.4,"4","5",3,20000,14698,0,5302
1,"1","1",1,20000,7356,0,12644
1,"1","1",2,20000,7358,0,12642
1,"1","1",3,20000,7358,0,12642
1,"1","2",1,20000,7358,0,12642
1,"1","2",2,20000,7358,0,12642
1,"1","2",3,20000,7358,0,12642
1,"1","3",1,20000,7358,0,12642
1,"1","3",2,20000,7358,0,12642
1,"1","3",3,20000,7358,0,12642
1,"1","4",1,20000,7358,0,12642
1,"1","4",2,20000,7358,0,12642
1,"1","4",3,20000,7358,0,12642
1,"1","5",1,20000,7358,0,12642
1,"1","5",2,20000,7358,0,12642
1,"1","5",3,20000,7358,0,12642
1,"2","1",1,20000,7498,0,12502
1,"2","1",2,20000,7483,0,12517
1,"2","1",3,20000,7503,0,12497
1,"2","2",1,20000,7509,0,12491
1,"2","2",2,20000,7502,0,12498
1,"2","2",3,20000,7499,0,12501
1,"2","3",1,20000,7505,0,12495
1,"2","3",2,20000,7519,0,12481
1,"2","3",3,20000,7518,0,12482
1,"2","4",1,20000,7461,0,12539
1,"2","4",2,20000,7475,0,12525
1,"2","4",3,20000,7455,0,12545
1,"2","5",1,20000,7478,0,12522
1,"2","5",2,20000,7468,0,12532
1,"2","5",3,20000,7511,0,12489
1,"3","1",1,20000,8380,0,11620
1,"3","1",2,20000,8496,0,11504
1,"3","1",3,20000,8538,0,11462
1,"3","2",1,20000,8467,0,11533
1,"3","2",2,20000,8545,0,11455
1,"3","2",3,20000,8492,0,11508
1,"3","3",1,20000,8504,0,11496
1,"3","3",2,20000,8598,0,11402
1,"3","3",3,20000,8497,0,11503
1,"3","4",1,20000,8485,0,11515
1,"3","4",2,20000,8459,0,11541
1,"3","4",3,20000,8460,0,11540
1,"3","5",1,20000,8663,0,11337
1,"3","5",2,20000,8620,0,11380
1,"3","5",3,20000,8685,0,11315
1,"4","1",1,20000,9388,0,10612
1,"4","1",2,20000,9354,0,10646
1,"4","1",3,20000,9335,0,10665
1,"4","2",1,20000,9573,0,10427
1,"4","2",2,20000,9625,0,10375
1,"4","2",3,20000,9621,0,10379
1,"4","3",1,20000,9257,0,10743
1,"4","3",2,20000,9262,0,10738
1,"4","3",3,20000,9058,0,10942
1,"4","4",1,20000,9014,0,10986
1,"4","4",2,20000,9138,0,10862
1,"4","4",3,20000,9123,0,10877
1,"4","5",1,20000,9300,0,10700
1,"4","5",2,20000,9335,0,10665
1,"4","5",3,20000,9382,0,10618
2.5,"1","1",1,20000,1642,0,18358
2.5,"1","1",2,20000,1642,0,18358
2.5,"1","1",3,20000,1642,0,18358
2.5,"1","2",1,20000,1642,0,18358
2.5,"1","2",2,20000,1642,0,18358
2.5,"1","2",3,20000,1642,0,18358
2.5,"1","3",1,20000,1642,0,18358
2.5,"1","3",2,20000,1642,0,18358
2.5,"1","3",3,20000,1642,0,18358
2.5,"1","4",1,20000,1642,0,18358
2.5,"1","4",2,20000,1642,0,18358
2.5,"1","4",3,20000,1642,0,18358
2.5,"1","5",1,20000,1642,0,18358
2.5,"1","5",2,20000,1642,0,18358
2.5,"1","5",3,20000,1642,0,18358
2.5,"2","1",1,20000,1808,0,18192
2.5,"2","1",2,20000,1846,0,18154
2.5,"2","1",3,20000,1809,0,18191
2.5,"2","2",1,20000,1855,0,18145
2.5,"2","2",2,20000,1860,0,18140
2.5,"2","2",3,20000,1865,0,18135
2.5,"2","3",1,20000,1807,0,18193
2.5,"2","3",2,20000,1789,0,18211
2.5,"2","3",3,20000,1798,0,18202
2.5,"2","4",1,20000,1825,0,18175
2.5,"2","4",2,20000,1838,0,18162
2.5,"2","4",3,20000,1866,0,18134
2.5,"2","5",1,20000,1809,0,18191
2.5,"2","5",2,20000,1815,0,18185
2.5,"2","5",3,20000,1793,0,18207
2.5,"3","1",1,20000,3381,0,16619
2.5,"3","1",2,20000,3413,0,16587
2.5,"3","1",3,20000,3284,0,16716
2.5,"3","2",1,20000,3784,0,16216
2.5,"3","2",2,20000,3615,0,16385
2.5,"3","2",3,20000,3954,0,16046
2.5,"3","3",1,20000,3170,0,16830
2.5,"3","3",2,20000,3321,0,16679
2.5,"3","3",3,20000,3253,0,16747
2.5,"3","4",1,20000,3577,0,16423
2.5,"3","4",2,20000,3279,0,16721
2.5,"3","4",3,20000,3524,0,16476
2.5,"3","5",1,20000,3145,0,16855
2.5,"3","5",2,20000,3385,0,16615
2.5,"3","5",3,20000,3501,0,16499
2.5,"4","1",1,20000,11554,0,8446
2.5,"4","1",2,20000,11569,0,8431
2.5,"4","1",3,20000,11818,0,8182
2.5,"4","2",1,20000,4710,0,15290
2.5,"4","2",2,20000,4544,0,15456
2.5,"4","2",3,20000,4536,0,15464
2.5,"4","3",1,20000,4663,0,15337
2.5,"4","3",2,20000,9917,0,10083
2.5,"4","3",3,20000,4618,0,15382
2.5,"4","4",1,20000,5089,0,14911
2.5,"4","4",2,20000,10240,0,9760
2.5,"4","4",3,20000,10092,0,9908
2.5,"4","5",1,20000,10727,0,9273
2.5,"4","5",2,20000,10744,0,9256
2.5,"4","5",3,20000,10622,0,9378
